Ward No,Ward Name,Population,Latitude,Longitude,,,,
1,Kazhakkuttam,"16,882",8.5685708,76.8731333,,,,
2,Chanthavila,"9,355",8.5918271,76.8850673,,,,
3,Kattaikonam,"9,696",8.602297,76.8958351,,,,
4,Sreekaryam,"11,782",8.5471434,76.9138873,,,,
5,Cheruvaikkal,"16,063",8.53361,76.911,,,,
6,Ulloor,"11,599",8.5295313,76.9290151,,,,
7,Edavacode,"12,215",8.553753,76.9304557,,,,
8,Chellamangalam,"7,951",8.5646377,76.9205903,,,,
9,Chempazhanthi,"11,845",8.5685351,76.9110056,,,,
10,Powdikonam,"9,280",8.573079,76.9260765,,,,
11,Njandoorkonam,"9,958",8.5842568,76.9189301,,,,
12,Kinavoor,"9,559",8.5241391,76.9366376,,,,
13,Mannanthala,"8,484",8.561559,76.9427006,,,,
14,Nalanchira,"8,720",8.5392476,76.9479911,,,,
15,Kesavadasapuram,"9,123",8.5297279,76.9384453,,,,
16,Medical College,"6,817",8.5234671,76.9282718,,,,
17,Pattom,"13,079",8.5207295,76.9422873,,,,
18,Muttada,"4,406",8.5338428,76.9471312,,,,
19,Kudappanakkunnu,"9,576",8.5489543,76.9624202,,,,
20,Pathirappally,"10,146",8.4953131,76.9748319,,,,
21,Chettivilakom,"11,466",8.4735979,76.9419803,,,,
22,Sasthamangalam,"9,810",8.508815,76.9702923,,,,
23,Kaudiar,"9,870",8.5219544,76.9628658,,,,
24,Kuravankonam,"9,018",8.5243464,76.954224,,,,
25,Nanthancode,"9,677",8.5142022,76.9562828,,,,
26,Kunnukuzhi,"8,696",8.5050622,76.9398195,,,,
27,Palayam,"5,069",8.5039157,76.9510538,,,,
28,Thycaud,"6,378",8.4893341,76.961285,,,,
29,Vazhuthacaud,"8,054",8.5021321,76.9641552,,,,
30,Kanjirampara,"8,753",8.5170719,76.9772675,,,,
31,Peroorkada,"11,739",8.5427586,76.9660417,,,,
32,Thuruthummoola,"8,598",8.5241391,76.9366376,,,,
33,Nettayam,"10,271",8.5403412,76.9902276,,,,
34,Kachani,"8,825",8.5525775,76.9945473,,,,
35,Vazhottukonam,"7,462",8.5300972,76.9851877,,,,
36,Vattiyoorkavu,"9,967",8.5386548,76.9889851,,,,
37,Kodunganoor,"13,641",8.5211938,77.0037344,,,,
38,PTP Nagar,"8,661",8.5114929,76.9909475,,,,
39,Pangode,"7,316",8.5038409,76.9830277,,,,
40,Thirumala,"8,750",8.5025561,76.9940434,,,,
41,Valiyavila,"5,674",8.5063657,76.9981469,,,,
42,Poojappura,"15,374",8.4916137,76.9787076,,,,
43,Valiyasala,"7,104",8.4843581,76.9592232,,,,
44,Jagathy,"8,348",8.4958979,76.9664664,,,,
45,Karamana,"9,810",8.4820127,76.9660789,,,,
46,Arannoor,"8,594",8.5241391,76.9366376,,,,
47,Mudavanmugal,"12,254",8.4869002,76.9832077,,,,
48,Thrikkannapuram,"11,694",8.4918316,76.9970195,,,,
49,Nemom,"8,576",8.4537495,77.0084268,,,,
50,Ponnumangalam,"10,376",8.5948288,77.012567,,,,
51,Punnackamugal,"7,257",8.4914688,76.9912079,,,,
52,Pappanamcode,"10,848",8.4697273,76.9818404,,,,
53,Estate,"8,380",8.5241391,76.9366376,,,,
54,Nedumcaud,"12,624",8.47408,76.9623209,,,,
55,Kalady,"12,714",8.4682594,76.9629111,,,,
56,Melamcode,"9,918",8.6104385,77.0010364,,,,
57,Punchakkari,"9,805",8.4539149,76.9732927,,,,
58,Poonkulam,"8,697",8.4229502,76.971507,,,,
59,Venganoor,"10,122",8.4043294,77.0161436,,,,
60,Mulloor,"9,553",8.3754828,77.0093278,,,,
61,Kottappuram,"10,384",8.3777241,76.9988036,,,,
62,Vizhinjam,"8,498",8.3932201,77.004626,,,,
63,Harbour,"8,467",8.3895127,76.9857213,,,,
64,Vellar,"7,529",8.4103383,76.9756882,,,,
65,Thiruvallom,"16,580",8.4478996,76.9556643,,,,
66,Poonthura,"7,825",8.4409509,76.9484624,,,,
67,Ambalathara,"11,779",8.454558,76.954224,,,,
68,Kamaleswaram,"9,786",8.467682,76.9455815,,,,
69,Kalippankulam,"7,768",8.4641463,76.952144,,,,
70,Attukal,"8,096",8.4707544,76.9571046,,,,
71,Chalai,"7,788",8.4839784,76.9513432,,,,
72,Manacaud,"7,853",8.4718533,76.9517797,,,,
73,Kuriathy,"7,875",8.4720665,76.9505784,,,,
74,Puthenpally,"4,222",8.4480169,76.948385,,,,
75,Manickavilakom,"3,098",8.4014911,77.1326969,,,,
76,Beemapally East,"15,031",8.4513897,76.9398195,,,,
77,Beemapally,"14,229",8.4513897,76.9398195,,,,
78,Muttathara,"14,199",8.463835,76.9394388,,,,
79,Sreevaraham,"8,215",8.4776232,76.9419803,,,,
80,Fort,"6,296",8.4810022,76.9427006,,,,
81,Thampanoor,"9,591",8.490873,76.9527483,,,,
82,Vanchiyoor,"8,258",8.4943246,76.9398195,,,,
83,Sreekandeswaram,"7,661",8.4875351,76.9422498,,,,
84,Perunthanni,"11,562",8.4827956,76.9362182,,,,
85,Palkulangara,"6,913",8.4860772,76.9340573,,,,
86,Chacka,"8,536",8.4948358,76.9153281,,,,
87,Valiyathura,"11,749",8.4646156,76.9275756,,,,
88,Vallakkadavu,"10,705",8.4749797,76.919523,,,,
89,Sanghummukham,"12,991
",8.4833075,76.911726,,,,
90,Vettucaud,"9,950",8.4964792,76.9016845,,,,
91,Karckakom,"9,088",8.5046811,76.9039318,,,,
92,Kadakampally,"11,075",8.5007063,76.9180174,,,,
93,Pettah,"7,716",8.49503,76.92936,,,,
94,Kannammoola,"8,983",8.5047689,76.9311761,,,,
95,Anamukham,"20,244",8.5138609,76.9161526,,,,
96,Aakkulam,"7,980",8.5334906,76.9047438,,,,
97,Kulathoor,"5,065",8.3319382,77.0967357,,,,
98,Attipra,"9,023",8.543374,76.891935,,,,
99,Poundkadavu,"7,803",8.5319365,76.8814643,,,,
100,Pallithura,"12,538",8.5507384,76.8620064,,,,
